hajagiree	हजगिरी
day	डे
silva	सिल्वा
abdul	अब्दुल
nafi	नफी
garmin	गार्मिन
robin	रॉबिन
jackman	जैकमन
acharya	आचार्य
mard	मर्द
ka	का
baccha	बच्चा
chase	चैज़
jagrao	जगराउ
raaj	राज
rani	रानी
devendra	देवेंद्र
olesia	ओलेसिया
kayanthiya	कायंथिया
basil	तुलसी
oter	दूसरी
marriage	शादी
ronat	रोनट
vermilion	सिंदूर
of	का
donation	दान
vishakha	विशाखा
his	अपना
homhe	घर
kuwara	कुँवारा
badan	बदन
skohenepheld	स्कोहेनेफेल्ड
ratr	रत्न
manjari	मंजरी
shahinah	शाहीनाह
maha	महा
shaktimaan	शक्तिमान
anatoli	अनातोली
lek	लेक
oomananda	ओमानन्द
dika	डिक
wine	वैन
daik	डाइक
chittowdgad	चित्तौड़गढ़
fort	फोर्ट
kevaladev	केवलादेव
tom	टॉम
silaak	सीलॅक
asabag	अस्बाग
district	डिस्ट्रीक्ट
tanganyika	टांगानाइका
robert	रॉबर्ट
kennedy	कैनेडी
dharam	धरम
wife	पत्नी
chapra	छपरा
parminder	परमिंदर
sa'ood	सऊद
sawwaf	सव्वाफ
anjushree	अंजुश्री
reliance	रिलायंस
capital	कैपिटल
koushal	कौशल
lokuarachhi	लोकुअराच्ची
faindaingo	फैनडैंगो
jenibel	जेनिबेल
sayyad	सय्यद
rasel	रसेल
gangan	गंगन
kaaga	कागा
umayyah	उमय्याह
china	चाइना
grandak	ग्रेन्टेक
competition	कॉर्पोरेशन
limited	लिमिटेड
kargil	कारजिल
sule	सुले
induja	इन्दुजा
odissi	ओडिसी
flex	फ़्लेक्स
industries	इंडस्ट्रीज़
team	टिम
curry	कॅरी
bhoy	भाई
kaa	का
dushman	दुश्मन
bhoy	भाई
cadhjury	काठजुरी
binaguri	बिनागुरी
jalte	जलते
deep	दीप
gowot	गैवोट
shisha	शीशा
nilagriva	नीलाग्रीव
benin	बेनिन
dadha	दाद
mard	मर्दों
vaali	वाली
bat	बात
prem	प्रेम
kee	की
duniya	दुनिया
barbara	बारबरा
valters	वॉल्टर्स
crocker	क्रोकर
hainkank	हैनकॉक
naazneem	नाज़नीं
parambikulam	परमबिकुलम
rezervoir	रिज़रवायर
kairesa	कैरेसा
junior	जुनियर
murle	मुर्रे
nusrat	नुसरत
fateh	फतेह
ali	अली
khan	खान
kairesi	कैरेसी
mayur	मयूर
baruva	बरुवा
fort	फोर्ट
zachary	ज़करी
tailor	टेलर
prhithvi	पृथ्वी
vallabh	वल्लभ
tata	टाटा
finance	फ़ायनेंस
yuran	युरन
fabiano	फैबियानो
dayyan	दयान
ninon	निनोन
kamakshi	कामाक्षी
amman	अम्मान
kaisiya	कैसिया
university	यूनिवर्सिटी
of	ऑफ
nodar	नोटर
dam	डेम
lala	लाला
mohsin	मोहसिन
kamal	कमाल
petronos	प्रेट्रोनॉस
tower	टॉवर
do	2
phaiyat	फैयद
nastar	नश्तर
tayni	टायनी
vikrant	विक्रांत
badriprasad	बद्रीप्रसाद
ek	एक
hasini	हसीना
do	दो
diwane	दीवाने
aakarshan	आकर्षण
kwintana	क्विंटाना
gurudwara	गुरूद्वारा
southhaal	साउथहाल
thuvaibah	थुवैबाह
begam	बेगम
akhtar	अख्तर
vanamaalee	वनमाली
fahd	फहद
beauty	सुंदरता
bohrium	बोरियम
atiya	अतिया
muhtadi	मुहतादी
bata	बाटा
drums	ड्रम्स
mekong	मेकाँग
medini	मेदिनी
aklmsh	अकल्मश
rekhi	रेखी
roti	रोटी
sohota	सोहोटा
thiodor	थीओडोर
rujvelt	रूज़वेल्ट
saim	सेम
group	ग्रुप
bahadurgard	बहादुरगढ़
abdul	अब्दुल
jaisalmer	जैसलमेर
fort	फोर्ट
bali	बाली
ilesh	इलेश
raste	रास्ते
pyar	प्यार
ke	के
bengai	बैंगई
balgopal	बालगोपाल
yen	येन
chandpur	चाँदपुर
shote	शोटे
bawtri	बॅटरी
tahseen	तहसीन
hajaribag	हजारीबाग
neel	नील
simon	साइमन
davis	डेविस
champavat	चम्पावत
unikem	युनिकेम
rahim	रहीम
nasruddin	नसरूद्दीन
mark	मार्क
higs	हिग्स
sinjini	शिंजिनी
limestone	लैंगस्टोन
ridat	रिडाउट
fill	फिल
edmonds	एडमंड्‍स
haat	हाथ
key	की
safai	सफाई
yuvaraj	युवराज
singh	सिंह
pahala	पहला
pahala	पहला
pyar	प्यार
prativam	प्रीतवम
shashi	शशी
garibi	गरीबी
hadao	हटाओ
spedses	स्पेट्सेस
museum	म्युज़ियम
bhai	भाई
sahab	साहब
rosanlal	रोशनलाल
ambika	अंबिका
sifayar	सैफायर
satyavan	सत्यवान
prajapat	प्रजापत
anaparti	अनापर्ती
theodora	थियोडोरा
kashif	काशिफ
rajan	रज़ा
ismael	इस्मा'ईल
ismah	इस्माह
nayyab	नय्यब
kirti	कीर्ति
ajad	आज़ाद
ova	ओवा
lembsa	लैब्स
american	अमेरिकन
lejan	लेजन
mukuta	मुकुट
soundowall	सैंडोवल
net	नेट
king	किंग
coal	कोल
mukura	मुकुर
philiphinse	फ़िलीपिन्स
abdul	अब्दुल
rakeb	रकीब
ek	एक
naye	नई
paheli	पहेली
balharshah	बल्हारशाह
adin	ऐदीन
tori	टोरी
fil	फिल
nester	नेस्टर
ganadhik	गणधिक
marshall	मार्सेल
benoist	बेनोइस्ट
prize	प्राइज़
damini	दामिनी
apollo	अपोलो
hospital	हॉस्पिटल
lakkad	लक्कड
kairen	कैरेन
blixon	ब्ल‍िक्सन
museum	म्युज़ियम
camp	केप
horn	हॉर्न
chhatre	छत्रे
bhadbhoke	भाडभोके
eldhiya	एल्थिया
baha	बहा
all	अल
deen	दीन
gustao	गुस्तावो
dhameejaa	धामीजा
aaditya	आदित्य
vikram	विक्रम
bidala	बिड़ला
group	ग्रुप
gangabhrat	गंगाभृत
tanpura	तानपुरा
sanam	सनम
teri	तेरी
kasam	कसम
gomoh	गोमोह
junction	जंक्शन
tarla	तरला
avan	एऑन
center	सेन्टर
tredent	ट्रिडेंट
idena	इडेना
raamendra	रामेंद्र
safed	सफ़ेद
juthe	झूठ
aara	आरा
jokasta	जोकस्ता
delta	डेल्टा
fort	फोर्ट
scout	स्कॉट
paapi	पापी
peat	पेट
ka	का
sawal	सवाल
hai	है
basar	बसर
lankeshwar	लंकेश्वर
shyamangi	श्यामांगी
khafid	खाफिद
chetan	चेतन
chandi	चाँदी
sona	सोना
narang	नारंग
oliviya	ओलिविया
barad	बराड़
altar	वेदी
baghauli	बघौली
patagonian	पेटागोनियन
sen	सेन
lanza	लैंजा
christie	क्रिस्टी
abdur	अब्दुर
rahman	रहमान
fox	फॉक्स
attack	वार
weddell	वेडेल
carl	कार्ल
war	जंग
aragn	एरागन
sacrifice	यज्ञ
fort	फोर्ट
adams	एडम्स
matching	मिलान
lynette	लिनेट
bombay	बंबई
key	की
bahu	बहू
vendi	वेंडी
tarvinder	तरविंदर
janica	जेनिका
arsanic	आर्सेनिक
russel	रसेल
bassi	बस्सी
pathnam	पठनम
chandelika	चंद्रलेखा
kolorado	कोलोरॅडो
hakakandi	हलाकांडी
estabarak	इस्तबराक
sheesham	शीशम
godse	गोडसे
sentrika	सेन्ट्रिका
chinchali	चिंचली
shahi	शाही
bajar	बाज़ार
dian	डाएन
dial	डायल
hedley	हेडली
8.01	अब्दुस
shafi	शफी
fort	फोर्ट
university	यूनिवर्सिटी
of	ऑफ
vadech	वदेच
jaikaabs	जैकॉब्स
vel	वेल
aseem	असीम
see	सी
aaph	ऑफ
maarmaaraa	मारमारा
rashtriy	राष्‍ट्रीय
sahara	सहारा
atikaah	आतिकाह
sundarlight	सुंदरलैंड
dalal	दलाल
khwin	ध्वनि
ford	फोर्ट
spain	स्पायन
amirindr	अमिरिंद्र
kleint	क्लॉड
interesn	हेंडरसन
doulat	दौलत
ke	के
bahaar	बहार
alibaba	अलीबाबा
majeerna	मर्जीना
rangeel	रंगील
ratan	रतन
pairenees	पायरेनीस
hasru	हार्से
shaswathi	शस्वती
linkolen	लिंकोलन
dhugi	घुगी
dushman	दुश्मन
anokha	अनोखा
bandhan	बंधन
nabid	नबिघ
saroja	सरोजा
shairij	शेरीज
vadita	वादिता
brandon	ब्रेंडन
julian	जूलियन
kaishal	कैशल
taarkedhar	तारकेश्वर
khirash	खिराश
rosemond	रोसमन्ड
utsah	उत्सा
jainab	ज़ैनब
makra	मर्क
atirah	आतिराह
prometheis	प्रोमिथेउस
chool	खुल
ja	जा
walk	वॉक
shawn	शान
creek	क्रीक
community	कम्युनिटी
bible	बायबल
kavi	कवि
sammelen	सम्मेलन
taruni	तरुणी
tulsidas	तुलसीदास
jyotiba	ज्योतीबा
sim	सिम
sim	सिम
yelijaabeth	एलीज़ाबेथ
kaleyar	क्लेयर
profate	प्रोफ़ेट
fort	फोर्ट
daarnet	डार्नेट
dachigam	दाचीगम
achleskhar	अचलेश्वर
vailes	वैलेस
phule	फुले
nagar	नगर
livonde	लिवोंदे
viyatnam	वियतनाम
mera	मेरा
nasib	नसीब
bell	बेल
naithle	नैथले
deni	डेनी
kwalior	कवालियर
ezra	एज़्रा
moselle	मोसेले
s	केया
accomphlishment	सिद्धि
chiranjeev	चिरंजीव
clear	निर्मल
calla	कैला
fajhulapur	फैज़ुलापुर
hiralal	हीरालाल
chirantan	चिरंतन
deshonnati	देशोन्नत‍ि
stenley	स्टैनले
day	डे
silva	सिल्वा
ansu	आँसू
ban	बन
gaye	गए
ful	फ़ूल
ashrad	अर्शद
davoyanka	दवोयंका
badri	बद्री
tumhare	तुम्हारे
beena	बिना
jodi	जोडी
ajanta	अजंता
toshiba	तोशिबा
krodhi	क्रोधी
collang	कोलाँग
tanzim	तंज़ीम
griffiths	ग्रिफिथ्स
subah	सुबह
betar	बेटर
online	ऑनलाइन
solutions	सॉल्यूशंस
holi	हॉली
hunter	हंटर
mamta	ममता
ki	की
chhav	छाँव
me	में
shadab	शादाब
karlisal	कार्लिसल
pyasa	प्यासा
sawan	सावन
sayyar	सय्यार
do	दो
kaliyam	कलियाँ
boss	बोस
corp	कॉर्प
nizr	नीजर
aashi	आशी
kaseyi	कसेई
manchala	मनचला
carlindaa	कारलिंडा
masina	मसीना
vaarta	वार्ता
professional	प्रोफेश्नल
resilinga	रेस्लिंग
tough	दो
dilo	दिलों
ki	की
dastan	दास्तां
bagi	बागी
durga	दुर्गा
mata	माता
inkitadaar	इक़्तिदार
elastraders	इलस्ट्रेटर्स
of	ऑफ
te	द
future	फ्यूचर
bahaucin	बहाउद्दीन
deepit	दीपित
soudamini	सौदामिनी
suhrevardi	सुहरेवर्दी
kawabata	कावाबाटा
yasunari	यसुनारी
prize	प्राइज़
wipro	विप्रो
salikah	सलीकाह
endrance	एण्ड्रू
national	नेशनल
television	टेलीविज़न
awardress	अवार्ड्‍स
delaveyar	डेलावेयर
canal	केनाल
constalation	कॉन्स्टेलेशन
boinda	बोइंदा
bay	बे
aabru	आबरू
chandeegadiya	चंडीगड़िया
bharva	भरवा
sumerpur	सुमेरपुर
gurneet	गुरनीत
ram	राम
key	की
ganga	गंगा
mainda	मैड्रा
canadia	केनेडिया
maria	मारिया
shrivar	श्रीवर
martan	मॉर्टन
fort	फोर्ट
semd	सेंट
philip	फिलिप
treksis	ड्रेक्सिस
heldhth	हेल्थ
ambotala	अम्बोडाला
jai	जॉय
bejamin	बेंजामिन
darsh	दर्श
kattar	कटर
david	डेविड
joseph	जोसफ
gurprit	गुरप्रीत
kasibhagh	कशिफाह
hujyarah	हुजयराह
azrak	अज़राक
takr	डाकर
gandhidam	गांधीधाम
junction	जंक्शन
microbiology	माइक्रोबायोलॉजी
modak	मोडक
chirag	चिराग
medlina	मैडलीना
tower	टावर
fort	फोर्ट
lily	लिली
kala	काला
samander	समंदर
north	नॉर्थ
bhudhar	भूधर
william	विलियम
shakespear	शेक्सपियर
te	द
little	लिटिल
white	व्हाइट
fort	फोर्ट
lamdun	लॉडून
kusumadheeraj	कुसुमाधिराज
badnera	बदनेरा
junction	जंक्शन
pyasi	प्यासी
aatma	आत्मा
prahlad	प्रहलाद
salamat	सलामत
raen	रॉएन
mera	मेरा
gaon	गाँव
isa	ऐसा
bhi	भी
hota	होता
he	है
selesteen	सेलेस्टीन
garphone	गरफॉन
bhagalpur	भागलपुर
jansiwale	झांसीवाले
dairan	डैरन
semmi	सैम्मी
ravinder	रविंद्र
ladki	लड़की
sahyadri	सह्याद्री
ke	की
port	पोर्ट
luis	लुईस
edith	एडिथ
alfonso	अल्फांसो
fail	फेल
angelo	एंजेलो
balmani	बालमणि
milton	मिल्टन
paidaina	पायडैना
motilal	मोतीलाल
hashim	हाशिम
ghamandi	घमंडी
telburt	डेलबर्ट
manoj	मनोज
prabhakar	प्रभाकर
sarakshi	सारक्षी
pramada	प्रमदा
rayas	रॉयस
grummen	ग्रुम्मन
angiotech	एन्जियोटेक
pharmaceuticals	फ़ार्मासुटिकल्स
durgapur	दुर्गापुर
lake	लेक
naakuru	नाकुरु
presideo	प्रेसिडियो
of	ऑफ
sen	सैन
francisco	फ्रान्सिस्को
dakhla	डाखला
shivpriya	शिवप्रिया
dorall	डॉरेल
industries	इंडस्ट्रीज
neel	नील
faster	फॉस्टर
like	लईक
prabir	प्रबीर
apolo	अपोलो
tyres	टायर्स
assam	हस्सम
saliahaa	सलीहाह
dana	दाना
bharati	भारती
quest	क्वेस्ट
communications	कम्युनिकेशंस
meina	मैना
pratidin	प्रत‍िद‍िन
bhanapur	भानापुर
sailesh	सैलेश
miles	माइल्स
frenklin	फ्रेंकलिन
award	अवार्ड
costa	कोस्टा
rika	रिका
prem	प्रेम
geet	गीत
saimi	सैमी
sosaa	सोसा
varn	वर्न
laila	लैला
majanu	मजनू
swasti	स्वस्ति
navneet	नवनीत
gaya	गया
daulat	दौलत
frinses	प्रिंसेस
sudath	सुदाथ
pascvel	पासक्वेल
mailkam	मैल्कम
bailarij	बैलरिज
national	नेशनल
quality	क्वालिटी
award	अवार्ड
aaminaha	आमिनाह
rojaliya	रोज़ालिया
bijur	बिजूर
simran	सिमरन
eklahart	एल्कहार्ट
breast	ब्रेस्ट
bahu	बहू
begam	बेगम
khuvayalaah	खुवयलाह
india	इंडिया
glycols	ग्लायकॉल्स
neki	नेकि
vaar	वार
of	ऑफ
te	द
beverian	बेवेरियन
fortes	फोरट्रेस
dahina	दाहिना
jainabad	ज़ैनाबाद
bruce	ब्रूस
red	रैड
rege	रेगे
eshbag	ऐशबाग
national	नेशनल
packers	पार्क्स
of	ऑफ
succession	सक्सेशन
bhanvarlal	भंवरलाल
laina	लायना
arihant	अरिहंत
sugar	शुगर
dekstron	डेक्ट्रॉन
international	इंटरनेशनल
diyanth	डियांथ
surgery	सर्जरी
city	सिटी
university	यूनिवर्सिटी
valentina	वैलेंटिना
advait	अद्वैत
siddhimha	सिद्धिमा
bankebihari	बांकेबिहारी
cape	केप
york	यॉर्क
loafing	आवारगी
dagan	दगन
villette	विलेट
brazil	ब्राज़ील
bagbahara	बागबहरा
prasannajit	प्रसन्नजित
new	न्यू
hewan	हेवन
road	रोड
church	चर्च
off	ऑफ
gand	गॉड
manasi	मानसी
paayik	पाइक
bhachow	भचउ
jainies	जेनिस
japalina	जॉपलिन
boosters	बूस्टर्स
colsa	कोल्स
meira	मैर
bakii	बकी
gombe	गोंबे
stream	स्ट्रीम
gori	गेरी
kosiyr	कॉसियर
khun	खून
ki	की
keemat	कीमत
alka	अलका
pander	पंढ़ेर
tera	डैश
chor	चोर
chor	चोर
kwila	क्विला
kainath	कैनॅथ
star	स्टार
acharyasuta	आचार्यसुता
carnish	कॉर्न‍िश
caaloni	कॉलोनी
museum	म्युज़ियम
aahista	आहिस्ता
ahista	आहिस्ता
jelig	ज़ेलिग
antni	एंतनी
abdul	अब्दुल
alim	अलीम
abdul	अब्दुल
halim	हलीम
wind	पवन
museum	म्युज़ियम
of	ऑफ
african	अफ्रीकन
art	आर्ट
kabhi	कभी
chup	धूप
kabhi	कभी
chaanv	छाँव
anokhi	अनोखी
mohabat	मोहब्बत
jaan	जॉन
kanri	कॅरी
bharat	भारत
ke	के
jahadaari	जहदारी
kelimutu	केलीमुटु
jensaar	ज़ेन्सार
shobhitaa	शोभिता
martin	मार्टिन
snedan	स्नेडन
kaalis	कॉलिंस
obuya	ओबुया
chikodi	चिकोड़ी
road	रोड
door	दरवाज़ा
cisco	सिस्को
edgar	एडगर
alan	एलन
poe	पोय
groom	दुल्हा
sold	बिकता
is	है
british	ब्रिटिश
petroleum	पेट्रोलियम
raheed	शहीद
shabua	झाबुआ
van	वेन
clark	क्लार्क
dharmanand	धर्मानन्द
luv	लेव
sharif	शरीफ
badmaash	बदमाश
jaan	जान
hatheli	हथेली
pay	पे
late	लेउ
dabilpur	दाबिलपुर
bhind	भिण्ड
gizali	गिसेली
nishad	निषाद
umesh	उमेश
hizar	हिसार
bad	बद
aur	और
badnam	बदनाम
repzal	रेप्सॉल
lover	लवर
bai	बॉय
kaidi	कैडी
ceyako	सिएको
epson	एप्सन
saz	साज़
bikaner	बीकानेर
fort	फोर्ट
mummy	मम्मी
daddy	डैडी
jeenet	जीनेट
gallop	गैलप
rahul	राहुल
dravid	द्रविड़
beri	बेरी
shikar	शिकार
beti	बेटी
fort	फोर्ट
fredrick	फ्रेडरिक
paro	पारो
vegvan	वेगवान
gurudwara	गुरूद्वारा
bibhor	बिभोर
sahib	साहिब
andrew	एण्ड्रयू
botique	पुटिक
da	द
kings	किंग्स
medal	मेडल
aaf	ऑफ
merit	मेरिट
in	इन
gold	गोल्ड
matsushitha	मत्सुशिता
electric	इलेक्ट्रिक
industrial	इंडस्ट्रीयल
arthay	अर्घ्य
muralidhar	मुरलीधर
narindrr	नरिंद्र
adinaraayan	आदिनारायण
fort	फोर्ट
nascopi	नैस्कोपी
ray	रे
charles	चार्ल्स
pratapgarh	प्रतापगढ़
sahil	साहिल
sahas	सहस
sahar	सहर
mangal	मंगल
pande	पांडे
nilagan	नीलांजन
bareli	बरेली
pak	पाक
daman	दामन
missicippi	मिसीसिपी
mizori	मिसौरी
kanaun	कनाउन
david	डेविड
smith	स्मिथ
dhia	धिया
rabindranath	रबीन्द्रनाथ
tagore	टागोर
mukhataar	मुखतार
heckenberg	हेकनबर्ग
international	इंटरनेशनल
crooke	क्रुक
goofy	नासमझ
jeff	जेफ्फ
aji	अजी
bus	बस
shukriya	शुक्रिया
frank	फ़्रेंक
jappa	ज़ाप्पा
bransveg	ब्रॉन्स्वेग
keneth	केनेथ
kosuth	कोसुथ
prize	प्राइज़
garot	गरोट
ladlo	लडलो
sydney	सिडनी
harbour	हार्बर
pyar	प्यार
ka	का
mausam	मौसम
timbles	टिमबेल्स
ek	एक
aur	और
sangram	संग्राम
medal	मेडल
of	ऑफ
nesterov	नेस्टेरोव
honey	हनी
chavalkhede	चवलखेड़े
fields	फील्ड्‍स
medal	मेडल
visisht	विशिष्ट
seva	सेवा
medal	मेडल
philandar	फिलैंडर
workstream	वर्कस्ट्रीम
uditi	उदिति
dairy	टैरी
kol	कोल
vhitekr	व्हिटेकर
elahabaad	इलाहाबाद
bank	बैंक
sawdne	साउदर्न
petrocam	पेट्रोकेम
aagaasoud	अगासोद
brayant	ब्रायंट
philo	फिलो
failase	वैलेस
ek	एक
jaan	जान
hein	हैं
hum	हम
lahu	लहू
key	की
awaz	आवाज़
asafpur	आसफपुर
senegal	सेनेगल
womens	वुमेन्स
literature	लिट्रेचर
prize	प्राइज़
ripraijal	रीप्राइजल
fort	फोर्ट
brizar	ब्रिजर
dialis	डायलिस
pal	पॉल
jarvis	जार्विस
satnam	सतनाम
overseas	ओवरसीस
viplav	विप्लव
adheera	अधीरा
la	ला
post	पोस्ट
freak	फ्रिक
collection	कलेक्शन
jamaii	जमाई
raja	राजा
salam	सालम
salif	सलीफ
hawking	हॉकिंग
dariyapur	दरियापुर
saleh	सालेह
salim	सलीम
activity	एक्टीविटी
girija	गिरिजा
kuchipudi	कुचीपुड़ी
karaks	काराकस
bharatpur	भरतपुर
junction	जंक्शन
bindya	बिंदिया
tyson	टायसन
erode	इरोड
junction	जंक्शन
silsila	सिलसिला
amprotech	ऑर्बोटेक
anhid	अनहिद
vaibhavi	वैभवी
lalchand	लालचंद
sukhdev	सुखदेव
breaken	ब्रेकन
agas	अगास
dairin	डैरिन
gilespie	गिलेस्पी
teri	तेरी
talash	तलाश
mein	में
deriya	डेरिया
kalunsaa	कॉलूसा
phaunche	पहुँचे
huye	हुए
log	लोग
abdul	अब्दुल
khaalika	खालिक
dorothi	डोरोथी
cainfield	कैनफील्ड
fisher	फिशर
children	चिल्ड्रन
book	बुक
award	अवार्ड
agatha	अगाथा
atmaram	आत्माराम
suhira	सुहीरा
lawrence	लॉरेंस
school	स्कूल
dharamprit	धरमप्रीत
super	सुपर
bowl	बाउल
abdul	अब्दुल
mugani	मुग़ानी
london	लंडन
university	यूनिवर्सिटी
business	बिज़नेस
school	स्कूल
rockbridge	रॉकब्रिज
deo	डियो
barsaat	बरसात
hantford	हॉर्टफोर्ड/ब्रॉड्ले
railway	रेल्वे
platform	प्लेटफार्म
dee	डी
hur	हर
hur	हर
mahadev	महादेव
famiryam	फेर्मियम
bakare	बाकरे
rio	रिओ
guard	ग्रांड
river	रिवर
emrand	एमराल्ड
after	ऑफर्ट
fisher	फिशर
sajiva	सजीवा
day	डे
silva	सिल्वा
mukcar	मुकद्दर
ka	का
badshah	बादशाह
fort	फोर्ट
scent	सेंट
joseph	जोसफ
vajr	वज्र
bikal	बिकल
sita	सीता
swayamvar	स्वयंवर
lakshadweep	लक्षद्वीप
trevor	ट्रेवर
franklin	फ्रेंकलिन
kaatib	कातिब
surinder	सुरिन्दर
beskiday	बेस्किडे
paisa	पैसा
ya	या
pyaar	प्यार
valsin	व‍िल्सन
kasal	कॅसल
jenos	ज़ेनोस
chitoor	चित्तूर
gholvad	घोलवद
perumpallam	पेरुमपल्लम
reservoir	रिज़रवायर
aethan	एथन
aelan	ऐलन
homestead	होमस्टेड
museam	म्युज़ियम
bhimavaram	भीमावरम
town	टाउन
mark	मार्क
dekker	डेक्कर
maharaja	महाराजा
d	डी
zeven	ज़ेवेन
provincien	प्रोविंसियन
tanjavur	तंजावुर
avatar	अवतार
bouvet	बॉवेट
adinarayan	आदिनारायण
pegasas	पेगासस
thhe	थत्ते
fort	फोर्ट
bij	बिज
rijnaven	‍रिजनॉवेन
pehli	पहली
shadi	शादी
jaan	जॉन
edrick	एडरिक
alboran	अल्बोरान
kaltham	कल्थम
gloriann	ग्लोरियन
nighojkar	निघोजकर
mettur	मेत्तुर
reservoir	रिज़रवायर
ligt	आलोक
kapali	कपाली
kumar	कुमार
gunung	गुनुंग
rinjani	रिनजनी
michael	माइकल
drayton	ड्राइटन
lily	लिली
mushtaak	मुश्ताक
ahmed	अहमद
execute	अंजाम
govinderazza	गोविंदराज्जा
perumal	पेरूमाल
seine	सीन
davis	डेवीस
gurudwara	गुरूद्वारा
chamkour	चमकौर
sahib	साहिब
itoil	इटोइल
vevae	वेवे
historical	ह‍िस्टॉर‍िकल
museum	म्युज़ियम
aank	ऑफ
crate	क्रेट
sanaa	साना
pyurs	प्युरस
quick	क्विकस्टेप
tanmya	तन्मया
lot	लाउड
breakwater	ब्रेकवॉटर
ford	फोर्ट
mehman	मेहमान
himaiks	हीमैक्स
technologis	टेक्नोलॉजीज़
phil	फिल
simans	सिमंस
sanat	सनत
dainik	दैन‍िक
jansadharan	जनसाधारण
bhitoura	भिटौरा
kasouti	कसौटी
elvis	एल्विस
prisle	प्रीस्ले
tata	टाटा
coffee	कॉफ़ी
zarka	ज़र्का
moxenos	मॉक्सेनोस
vittorio	विक्टोरियो
emanuele	इमानुएल
jesse	जेसी
jackson	जैक्सन
billy	बिली
graham	ग्राहम
duduk	डुदुक
samabaran	समबरन
courageous	करेजियस
geneva	जेनेवा
spencer	स्पेन्सर
gazalaan	ग़ज़लान
terenika	टेरेनिका
badla	बदला
aur	और
balidaan	बलिदान
vaachikaa	वाचिका
khatun	खातून
steeve	स्टीव
roland	रॉलेंड
holder	होल्डर
jenophone	ज़ेनोफोन
dil	दिल
key	की
rani	रानी
abdul	अब्दुल
munim	मुनीम
meghavini	मेधाविनी
vest	वेस्ट
saguja	सरगुजा
barson	बरसौन
aag	आग
aur	और
dag	दाग
taitus	टाइटस
hence	हॅन्स
blinks	ब्लिक्स
naaz	नाज़
curt	कर्ट
wilkinson	विल्किंसन
chambal	चंबल
key	की
rani	रानी
order	ऑडर
off	ऑफ
suvorov	सुवोरोव
laganse	लागुआन्स
dee	डी
chakachuaa	चाकाचुआ
longunaas	लॅगुनास
dey	डे
montebelo	मोन्टेबेलो
dameer	दमीर
sadhna	साधना
akamlaka	अकलंका
ganegaamaa	गनेगामा
varner	वार्नर
alfred	एल्फ्रेड
luseno	लूसेनो
vejont	वेजोंट
daim	डैम
erel	ऐरेल
gopal	गोपाल
ian	इआन
bel	बेल
dinbandhu	दीनबंधु
shoeb	शोएब
gigan	कीगन
meith	मेथ
khooni	खूनी
saaya	साया
padam	पद्‍म
bhushan	भूषण
bhudraj	भुदराज
nazeeba	नाजिबा
prajeet	प्रजीत
abjyoni	अब्जयोनि
gandhapalin	गंधपालिन
christopher	क्रिस्टोफर
kansas	कान्सास
city	सिटी
nehemiah	नेहमियाह
peri	पेरी
tolerance	सबर
vivid	शोख
dilruba	दिलरुबा
moniruzzaman	मोनीरुज़्ज़ामन
nishane	‍निशाने
baazi	बाज़ी
jaiyyes	जैक्वेस
rudalf	रुडॉल्फ
pricewaterhouse	प्राइसवॉटरहाउस
coopers	कूपर्स
stadman	स्टेडमैन
binayak	विनायक
ramteke	रामटेके
starligt	स्टरलाइट
medal	मेडल
of	ऑफ
pishkin	पिश्किन
solastis	सोलस्टिस
prusen	प्रूसेन
russel	रुस्सेल
aarnaald	आरनॉल्ड
bijauli	बिजौली
insaaniyat	इंसानियत
ke	के
enemy	दुश्मन
abdul	अब्दुल
mujeeb	मुजीब
lowell	लोवेल
prhithviraj	पृथ्वीराज
zwyndrecht	ज़ॉएन्ड्रेच
punishment	सज़ा
a	ए
deat	मौत
bidupur	बिदुपुर
naajida	नाजिदा
pyaar	प्यार
ka	का
tufan	तूफान
baidehi	बैदेहि
patang	पतंगा
bijakjode	बिज़क्ज़ाडे
bilapur	बिलपुर
university	यूनिवर्सिटी
off	ऑफ
leedas	लीड्‍स
julfkaar	ज़ुल्फ़कार
chiklathan	चिकलथन
stuart	स्टुअर्ट
law	लॉ
bard	बर्द
sayar	सायार
fort	फोर्ट
day	डे
goggle	गैगल
gearing	गियरिंग
shakil	शकील
khaan	खान
april	एप्रिल
skank	श्कॉक
friends	प्राइज़
eeen	इन
logic	लॉजिक
and	एण्ड
philosophy	फिलोसफी
brain	ब्रेन
luckhurst	लकहर्स्ट
miss	मिस
india	इंडिया
gabon	गाबोन
salimah	सलीमाह
ekatan	एकतन
dhulajee	धुलजी
wanhderer	पथिक
krishnakali	कृष्णकली
odenberg	ऑडेनबर्ग
fort	फोर्ट
san	सैन
geronimo	गेरोनिमो
deep	गहरा
blot	दाग
khwaja	ख्वाजा
nizamuddin	निज़ामुद्दीन
chishti	चिस्ती
tendulkar	तेंडुलकर
wafiyah	वाफियाह
maad	माड़
nadaleen	नडालीन
kovilar	कोविलर
reservoir	रिज़रवायर
majd	मज्द
ekambir	एकमबीर
salwaan	सल्वान
henkel	हेंकल
onega	उनेगा
lisbon	लिस्बन
portela	पोर्टेला
noor	नूर
jahan	जहाँ
kulachi	कुलाची
hansraj	हंसराज
model	मॉडेल
school	स्कूल
chamundeswari	चमुनदेस्वरी
sagan	सगन
neeraja	नीरजा
abdul	अब्दुल
wahab	वहाब
